CHR,region_start,region_end,width,region_strand,Annotation,QUERYID,TXID,Gene ID,log10BayesFactor,POS,marker.ID,CHRN,Num_Sig_Conditions,gene_start,gene_end,gene_width,gene_strand,pacId,transcriptName,peptideName,Pfam,Panther Categories,KOG,ec,KO,GO,Arabidopsis thaliana homolog,A. thaliana gene name,A. thaliana gene annotation,Rice homolog,Rice gene name,Rice gene annotation,d2_start,d2_end,distance from gene
Chr01N,66129309,66149309,20001,+,spliceSite,208,11181,Pavir.1NG552900,2.4587819496479653,66139309,Chr01N_66139309,2,6,66141025,66144244,3220,+,41581894,Pavir.1NG552900.10,Pavir.1NG552900.10.p,PF06450,"PTHR10283,PTHR10283:SF94",KOG2639,NA,NA,"GO:0016021,GO:0015385,GO:0006814",AT1G02260.1,NA,Divalent ion symporter,LOC_Os02g57620.1,NA,"Citrate transporter protein, putative, expressed",-1716,-4935,1716
Chr01N,66129309,66149309,20001,+,spliceSite,208,11182,Pavir.1NG552900,2.4587819496479653,66139309,Chr01N_66139309,2,6,66141025,66144244,3220,+,41581894,Pavir.1NG552900.10,Pavir.1NG552900.10.p,PF06450,"PTHR10283,PTHR10283:SF94",KOG2639,NA,NA,"GO:0016021,GO:0015385,GO:0006814",AT1G02260.1,NA,Divalent ion symporter,LOC_Os02g57620.1,NA,"Citrate transporter protein, putative, expressed",-1716,-4935,1716
Chr01N,66129309,66149309,20001,+,spliceSite,208,11183,Pavir.1NG552900,2.4587819496479653,66139309,Chr01N_66139309,2,6,66141025,66144244,3220,+,41581894,Pavir.1NG552900.10,Pavir.1NG552900.10.p,PF06450,"PTHR10283,PTHR10283:SF94",KOG2639,NA,NA,"GO:0016021,GO:0015385,GO:0006814",AT1G02260.1,NA,Divalent ion symporter,LOC_Os02g57620.1,NA,"Citrate transporter protein, putative, expressed",-1716,-4935,1716
Chr02K,19559,39559,20001,+,spliceSite,209,19345,Pavir.2KG018100,2.0506907302849133,29559,Chr02K_29559,3,9,25442,31703,6262,-,41653950,Pavir.2KG018100.1,Pavir.2KG018100.1.p,PF01680,PTHR31829,NA,4.3.3.6,K06215,"GO:0042823,GO:0042819",AT5G01410.1,"ATPDX1,ATPDX1.3,PDX1,PDX1.3,RSR4",Aldolase-type TIM barrel family protein,LOC_Os07g01020.1,NA,"SOR/SNZ family protein, putative, expressed",4117,-2144,2144
Chr02K,19559,39559,20001,+,spliceSite,209,19346,Pavir.2KG018100,2.0506907302849133,29559,Chr02K_29559,3,9,25442,31703,6262,-,41653950,Pavir.2KG018100.1,Pavir.2KG018100.1.p,PF01680,PTHR31829,NA,4.3.3.6,K06215,"GO:0042823,GO:0042819",AT5G01410.1,"ATPDX1,ATPDX1.3,PDX1,PDX1.3,RSR4",Aldolase-type TIM barrel family protein,LOC_Os07g01020.1,NA,"SOR/SNZ family protein, putative, expressed",4117,-2144,2144
Chr02K,98222,118222,20001,+,spliceSite,210,14986,Pavir.2KG017100,3.731596358813038,108222,Chr02K_108222,3,6,108202,109495,1294,+,41653618,Pavir.2KG017100.1,Pavir.2KG017100.1.p,PF13912,"PTHR26374,PTHR26374:SF201",NA,NA,NA,NA,AT2G37740.1,"ATZFP10,ZFP10",zinc-finger protein 10,LOC_Os07g01180.1,NA,"ZOS7-01 - C2H2 zinc finger protein, expressed",20,-1273,20
Chr02K,114281,134281,20001,+,spliceSite,211,14987,Pavir.2KG016900,2.348867096460432,124281,Chr02K_124281,3,5,133284,138379,5096,+,41657685,Pavir.2KG016900.1,Pavir.2KG016900.1.p,PF02705,"PTHR30540,PTHR30540:SF35",NA,NA,K03549,"GO:0071805,GO:0016020,GO:0015079",AT4G13420.1,"ATHAK5,HAK5",high affinity K+ transporter 5,LOC_Os03g37830.1,NA,"potassium transporter, putative, expressed",-9003,-14098,9003
Chr02K,114281,134281,20001,+,spliceSite,211,14988,Pavir.2KG016900,2.348867096460432,124281,Chr02K_124281,3,5,133284,138379,5096,+,41657685,Pavir.2KG016900.1,Pavir.2KG016900.1.p,PF02705,"PTHR30540,PTHR30540:SF35",NA,NA,K03549,"GO:0071805,GO:0016020,GO:0015079",AT4G13420.1,"ATHAK5,HAK5",high affinity K+ transporter 5,LOC_Os03g37830.1,NA,"potassium transporter, putative, expressed",-9003,-14098,9003
Chr02K,114281,134281,20001,+,spliceSite,211,14989,Pavir.2KG016900,2.348867096460432,124281,Chr02K_124281,3,5,133284,138379,5096,+,41657685,Pavir.2KG016900.1,Pavir.2KG016900.1.p,PF02705,"PTHR30540,PTHR30540:SF35",NA,NA,K03549,"GO:0071805,GO:0016020,GO:0015079",AT4G13420.1,"ATHAK5,HAK5",high affinity K+ transporter 5,LOC_Os03g37830.1,NA,"potassium transporter, putative, expressed",-9003,-14098,9003
Chr02K,1059740,1079740,20001,+,spliceSite,212,15113,Pavir.2KG003800,2.6748052175736006,1069740,Chr02K_1069740,3,9,1058285,1059834,1550,+,41652290,Pavir.2KG003800.2,Pavir.2KG003800.2.p,PF00240,PTHR10666,"KOG0001,KOG0005",NA,NA,GO:0005515,AT4G05320.2,UBQ10,polyubiquitin 10,LOC_Os02g06640.1,NA,"ubiquitin family protein, putative, expressed",11455,9906,9906
Chr02K,1059740,1079740,20001,+,spliceSite,212,15114,Pavir.2KG003300,2.6748052175736006,1069740,Chr02K_1069740,3,9,1077059,1078697,1639,+,41658161,Pavir.2KG003300.1,Pavir.2KG003300.1.p,NA,"PTHR32133,PTHR32133:SF134",NA,NA,NA,NA,NA,NA,NA,LOC_Os08g20492.1,NA,"OsFBX285 - F-box domain containing protein, expressed",-7319,-8957,7319
Chr02K,1059740,1079740,20001,+,spliceSite,212,15115,Pavir.2KG003200,2.6748052175736006,1069740,Chr02K_1069740,3,9,1079407,1083749,4343,+,41651495,Pavir.2KG003200.1,Pavir.2KG003200.1.p,PF08507,"PTHR34965,PTHR34965:SF1",NA,NA,NA,NA,AT4G33625.1,NA,NA,LOC_Os07g02710.1,NA,expressed protein,-9667,-14009,9667
Chr02K,1059740,1079740,20001,+,spliceSite,212,15116,Pavir.2KG003200,2.6748052175736006,1069740,Chr02K_1069740,3,9,1079407,1083749,4343,+,41651495,Pavir.2KG003200.1,Pavir.2KG003200.1.p,PF08507,"PTHR34965,PTHR34965:SF1",NA,NA,NA,NA,AT4G33625.1,NA,NA,LOC_Os07g02710.1,NA,expressed protein,-9667,-14009,9667
Chr02K,1059740,1079740,20001,+,spliceSite,212,19417,Pavir.2KG004600,2.6748052175736006,1069740,Chr02K_1069740,3,9,1060519,1063089,2571,-,41652806,Pavir.2KG004600.3,Pavir.2KG004600.3.p,"PF01535,PF13041","PTHR24015,PTHR24015:SF301",NA,NA,NA,NA,AT3G06430.1,EMB2750,Tetratricopeptide repeat (TPR)-like superfamily protein,LOC_Os03g19650.3,NA,"PPR2, putative, expressed",9221,6651,6651
Chr02K,1059740,1079740,20001,+,spliceSite,212,19418,Pavir.2KG003600,2.6748052175736006,1069740,Chr02K_1069740,3,9,1064531,1067082,2552,-,41658770,Pavir.2KG003600.2,Pavir.2KG003600.2.p,NA,"PTHR32133,PTHR32133:SF134",NA,NA,NA,NA,NA,NA,NA,LOC_Os07g02930.1,NA,"OsFBX210 - F-box domain containing protein, expressed",5209,2658,2658
Chr02K,1059740,1079740,20001,+,spliceSite,212,19419,Pavir.2KG218050,2.6748052175736006,1069740,Chr02K_1069740,3,9,1067465,1067956,492,-,41655898,Pavir.2KG218050.1,Pavir.2KG218050.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2275,1784,1784
Chr02K,1059740,1079740,20001,+,spliceSite,212,19420,Pavir.2KG003400,2.6748052175736006,1069740,Chr02K_1069740,3,9,1069247,1073819,4573,-,41658309,Pavir.2KG003400.1,Pavir.2KG003400.1.p,PF00118,PTHR11353,NA,NA,K09497,GO:0005524,AT1G24510.1,NA,TCP-1/cpn60 chaperonin family protein,LOC_Os06g36700.1,NA,"T-complex protein, putative, expressed",493,-4079,493
Chr02K,1059740,1079740,20001,+,spliceSite,212,19421,Pavir.2KG003400,2.6748052175736006,1069740,Chr02K_1069740,3,9,1069247,1073819,4573,-,41658309,Pavir.2KG003400.1,Pavir.2KG003400.1.p,PF00118,PTHR11353,NA,NA,K09497,GO:0005524,AT1G24510.1,NA,TCP-1/cpn60 chaperonin family protein,LOC_Os06g36700.1,NA,"T-complex protein, putative, expressed",493,-4079,493
Chr02K,1106727,1126727,20001,+,spliceSite,213,15118,Pavir.2KG432416,2.4754845642359964,1116727,Chr02K_1116727,3,9,1121113,1125242,4130,+,41652633,Pavir.2KG432416.1,Pavir.2KG432416.1.p,PF08387,"PTHR32212,PTHR32212:SF61",NA,NA,NA,NA,AT1G67390.1,NA,F-box family protein,LOC_Os07g02760.1,NA,"OsFBD13 - F-box and FBD domain containing protein, expressed",-4386,-8515,4386
Chr02K,1106727,1126727,20001,+,spliceSite,213,15119,Pavir.2KG432100,2.4754845642359964,1116727,Chr02K_1116727,3,9,1126257,1128420,2164,+,41658786,Pavir.2KG432100.1,Pavir.2KG432100.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9530,-11693,9530
Chr02K,1106727,1126727,20001,+,spliceSite,213,19423,Pavir.2KG432500,2.4754845642359964,1116727,Chr02K_1116727,3,9,1098422,1109698,11277,-,41656639,Pavir.2KG432500.1,Pavir.2KG432500.1.p,PF06862,PTHR12933,KOG2340,NA,K14774,GO:0005634,AT1G17690.1,NOF1,NA,LOC_Os05g22920.1,NA,"digestive organ expansion factor, putative, expressed",18305,7029,7029
Chr02K,1106727,1126727,20001,+,spliceSite,213,19424,Pavir.2KG432500,2.4754845642359964,1116727,Chr02K_1116727,3,9,1098422,1109698,11277,-,41656639,Pavir.2KG432500.1,Pavir.2KG432500.1.p,PF06862,PTHR12933,KOG2340,NA,K14774,GO:0005634,AT1G17690.1,NOF1,NA,LOC_Os05g22920.1,NA,"digestive organ expansion factor, putative, expressed",18305,7029,7029
Chr02K,1106727,1126727,20001,+,spliceSite,213,19425,Pavir.2KG432400,2.4754845642359964,1116727,Chr02K_1116727,3,9,1109690,1113053,3364,-,41653909,Pavir.2KG432400.2,Pavir.2KG432400.2.p,PF02517,"PTHR10794,PTHR10794:SF52",NA,NA,K07052,GO:0016020,AT3G26085.3,NA,CAAX amino terminal protease family protein,LOC_Os05g22930.1,NA,"CAAX amino terminal protease family protein, putative, expressed",7037,3674,3674
Chr02K,1161169,1181169,20001,+,spliceSite,214,19427,Pavir.2KG432048,4.4278958718651085,1171169,Chr02K_1171169,3,1,1161311,1169153,7843,-,41653220,Pavir.2KG432048.1,Pavir.2KG432048.1.p,PF14531,"PTHR24361,PTHR24361:SF389",KOG0198,2.7.11.25,NA,NA,AT5G66850.1,MAPKKK5,mitogen-activated protein kinase kinase kinase 5,LOC_Os07g02780.1,NA,"STE_MEKK_ste11_MAP3K.20 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed",9858,2016,2016
Chr02K,1161169,1181169,20001,+,spliceSite,214,19428,Pavir.2KG432048,4.4278958718651085,1171169,Chr02K_1171169,3,1,1161311,1169153,7843,-,41653220,Pavir.2KG432048.1,Pavir.2KG432048.1.p,PF14531,"PTHR24361,PTHR24361:SF389",KOG0198,2.7.11.25,NA,NA,AT5G66850.1,MAPKKK5,mitogen-activated protein kinase kinase kinase 5,LOC_Os07g02780.1,NA,"STE_MEKK_ste11_MAP3K.20 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed",9858,2016,2016
Chr02K,1825754,1845754,20001,+,spliceSite,215,15170,Pavir.2KG216216,2.6719193643296353,1835754,Chr02K_1835754,3,8,1838742,1840585,1844,+,41658268,Pavir.2KG216216.1,Pavir.2KG216216.1.p,PF08224,"PTHR33377,PTHR33377:SF3",NA,NA,NA,NA,NA,NA,NA,LOC_Os07g02970.1,NA,expressed protein,-2988,-4831,2988
Chr02K,1825754,1845754,20001,+,spliceSite,215,15171,Pavir.2KG216248,2.6719193643296353,1835754,Chr02K_1835754,3,8,1845591,1847262,1672,+,41656821,Pavir.2KG216248.1,Pavir.2KG216248.1.p,PF08224,"PTHR33377,PTHR33377:SF3",NA,NA,NA,NA,NA,NA,NA,LOC_Os07g02970.1,NA,expressed protein,-9837,-11508,9837
Chr02K,1918237,1938237,20001,+,spliceSite,216,15179,Pavir.2KG186600,2.372938540536913,1928237,Chr02K_1928237,3,7,1920881,1922783,1903,+,41652964,Pavir.2KG186600.1,Pavir.2KG186600.1.p,PF12937,"PTHR32133,PTHR32133:SF134",NA,NA,NA,GO:0005515,AT3G17480.1,NA,F-box and associated interaction domains-containing protein,LOC_Os07g02930.1,NA,"OsFBX210 - F-box domain containing protein, expressed",7356,5454,5454
Chr02K,2707177,2727177,20001,+,spliceSite,217,19486,Pavir.2KG039600,2.298316605515583,2717177,Chr02K_2717177,3,5,2705522,2714628,9107,-,41655872,Pavir.2KG039600.1,Pavir.2KG039600.1.p,"PF00400,PF09070,PF08324",PTHR19849,NA,NA,K14018,GO:0005515,AT3G18860.1,NA,transducin family protein / WD-40 repeat family protein,LOC_Os07g03160.1,NA,"WD domain, G-beta repeat domain containing protein, expressed",11655,2549,2549
Chr02K,2707177,2727177,20001,+,spliceSite,217,19487,Pavir.2KG039600,2.298316605515583,2717177,Chr02K_2717177,3,5,2705522,2714628,9107,-,41655872,Pavir.2KG039600.1,Pavir.2KG039600.1.p,"PF00400,PF09070,PF08324",PTHR19849,NA,NA,K14018,GO:0005515,AT3G18860.1,NA,transducin family protein / WD-40 repeat family protein,LOC_Os07g03160.1,NA,"WD domain, G-beta repeat domain containing protein, expressed",11655,2549,2549
Chr02K,2707177,2727177,20001,+,spliceSite,217,19488,Pavir.2KG039600,2.298316605515583,2717177,Chr02K_2717177,3,5,2705522,2714628,9107,-,41655872,Pavir.2KG039600.1,Pavir.2KG039600.1.p,"PF00400,PF09070,PF08324",PTHR19849,NA,NA,K14018,GO:0005515,AT3G18860.1,NA,transducin family protein / WD-40 repeat family protein,LOC_Os07g03160.1,NA,"WD domain, G-beta repeat domain containing protein, expressed",11655,2549,2549
Chr02K,2707177,2727177,20001,+,spliceSite,217,19489,Pavir.2KG039700,2.298316605515583,2717177,Chr02K_2717177,3,5,2715080,2716664,1585,-,41657352,Pavir.2KG039700.1,Pavir.2KG039700.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2097,513,513
Chr02K,2707177,2727177,20001,+,spliceSite,217,19490,Pavir.2KG039800,2.298316605515583,2717177,Chr02K_2717177,3,5,2717490,2718254,765,-,41652686,Pavir.2KG039800.1,Pavir.2KG039800.1.p,NA,"PTHR33526,PTHR33526:SF3",NA,NA,NA,NA,AT4G37700.1,NA,NA,LOC_Os07g03170.1,NA,expressed protein,-313,-1077,313
Chr02K,3026188,3046188,20001,+,spliceSite,218,15230,Pavir.2KG039400,2.8672826709429806,3036188,Chr02K_3036188,3,8,3034039,3036850,2812,+,41650791,Pavir.2KG039400.2,Pavir.2KG039400.2.p,NA,"PTHR32133,PTHR32133:SF148",NA,NA,NA,NA,AT5G03970.1,NA,F-box associated ubiquitination effector family protein,LOC_Os07g23900.1,NA,"OsFBX234 - F-box domain containing protein, expressed",2149,-662,662
Chr02K,3343460,3363460,20001,+,spliceSite,219,15242,Pavir.2KG041700,2.0271801842441617,3353460,Chr02K_3353460,3,9,3346013,3346676,664,+,41656243,Pavir.2KG041700.1,Pavir.2KG041700.1.p,NA,"PTHR33109,PTHR33109:SF13",NA,NA,NA,NA,AT4G37810.1,NA,NA,LOC_Os07g04020.1,NA,expressed protein,7447,6784,6784
Chr02K,3343460,3363460,20001,+,spliceSite,219,19523,Pavir.2KG041900,2.0271801842441617,3353460,Chr02K_3353460,3,9,3347576,3352968,5393,-,41657425,Pavir.2KG041900.1,Pavir.2KG041900.1.p,"PF04578,PF13968","PTHR31325,PTHR31325:SF26",NA,NA,NA,NA,AT5G45470.1,NA,Protein of unknown function (DUF594),LOC_Os01g24240.1,NA,expressed protein,5884,492,492
Chr02K,3343460,3363460,20001,+,spliceSite,219,19524,Pavir.2KG041900,2.0271801842441617,3353460,Chr02K_3353460,3,9,3347576,3352968,5393,-,41657425,Pavir.2KG041900.1,Pavir.2KG041900.1.p,"PF04578,PF13968","PTHR31325,PTHR31325:SF26",NA,NA,NA,NA,AT5G45470.1,NA,Protein of unknown function (DUF594),LOC_Os01g24240.1,NA,expressed protein,5884,492,492
Chr02K,3343460,3363460,20001,+,spliceSite,219,19525,Pavir.2KG042000,2.0271801842441617,3353460,Chr02K_3353460,3,9,3353723,3356153,2431,-,41653236,Pavir.2KG042000.2,Pavir.2KG042000.2.p,PF04578,"PTHR31325,PTHR31325:SF26",NA,NA,NA,NA,NA,NA,NA,LOC_Os01g24240.1,NA,expressed protein,-263,-2693,263
Chr02K,3343460,3363460,20001,+,spliceSite,219,19526,Pavir.2KG042100,2.0271801842441617,3353460,Chr02K_3353460,3,9,3356505,3363171,6667,-,41657939,Pavir.2KG042100.1,Pavir.2KG042100.1.p,NA,"PTHR31325,PTHR31325:SF26",NA,NA,NA,NA,NA,NA,NA,LOC_Os07g04060.1,NA,expressed protein,-3045,-9711,3045
Chr02K,3508380,3528380,20001,+,spliceSite,220,19532,Pavir.2KG045900,2.417415658827478,3518380,Chr02K_3518380,3,9,3505012,3509049,4038,-,41656190,Pavir.2KG045900.1,Pavir.2KG045900.1.p,PF01490,"PTHR22950,PTHR22950:SF278",KOG1303,NA,NA,NA,AT5G49630.1,AAP6,amino acid permease 6,LOC_Os07g04180.1,NA,"amino acid transporter, putative, expressed",13368,9331,9331
Chr02K,3508380,3528380,20001,+,spliceSite,220,19533,Pavir.2KG045900,2.417415658827478,3518380,Chr02K_3518380,3,9,3505012,3509049,4038,-,41656190,Pavir.2KG045900.1,Pavir.2KG045900.1.p,PF01490,"PTHR22950,PTHR22950:SF278",KOG1303,NA,NA,NA,AT5G49630.1,AAP6,amino acid permease 6,LOC_Os07g04180.1,NA,"amino acid transporter, putative, expressed",13368,9331,9331
Chr02K,3508380,3528380,20001,+,spliceSite,220,19534,Pavir.2KG045900,2.417415658827478,3518380,Chr02K_3518380,3,9,3505012,3509049,4038,-,41656190,Pavir.2KG045900.1,Pavir.2KG045900.1.p,PF01490,"PTHR22950,PTHR22950:SF278",KOG1303,NA,NA,NA,AT5G49630.1,AAP6,amino acid permease 6,LOC_Os07g04180.1,NA,"amino acid transporter, putative, expressed",13368,9331,9331
Chr02K,3508380,3528380,20001,+,spliceSite,220,19535,Pavir.2KG045900,2.417415658827478,3518380,Chr02K_3518380,3,9,3505012,3509049,4038,-,41656190,Pavir.2KG045900.1,Pavir.2KG045900.1.p,PF01490,"PTHR22950,PTHR22950:SF278",KOG1303,NA,NA,NA,AT5G49630.1,AAP6,amino acid permease 6,LOC_Os07g04180.1,NA,"amino acid transporter, putative, expressed",13368,9331,9331
Chr02K,3508380,3528380,20001,+,spliceSite,220,19536,Pavir.2KG045900,2.417415658827478,3518380,Chr02K_3518380,3,9,3505012,3509049,4038,-,41656190,Pavir.2KG045900.1,Pavir.2KG045900.1.p,PF01490,"PTHR22950,PTHR22950:SF278",KOG1303,NA,NA,NA,AT5G49630.1,AAP6,amino acid permease 6,LOC_Os07g04180.1,NA,"amino acid transporter, putative, expressed",13368,9331,9331
Chr02K,3508380,3528380,20001,+,spliceSite,220,19537,Pavir.2KG045916,2.417415658827478,3518380,Chr02K_3518380,3,9,3525693,3529718,4026,-,41654099,Pavir.2KG045916.1,Pavir.2KG045916.1.p,"PF08263,PF00560,PF13855,PF00069","PTHR27000,PTHR27000:SF49",KOG1187,2.7.11.1,NA,"GO:0005515,GO:0006468,GO:0005524,GO:0004672",AT5G65700.1,BAM1,Leucine-rich receptor-like protein kinase family protein,LOC_Os07g04190.1,NA,"receptor protein kinase CLAVATA1 precursor, putative, expressed",-7313,-11338,7313
Chr02K,3508380,3528380,20001,+,spliceSite,220,19538,Pavir.2KG045916,2.417415658827478,3518380,Chr02K_3518380,3,9,3525693,3529718,4026,-,41654099,Pavir.2KG045916.1,Pavir.2KG045916.1.p,"PF08263,PF00560,PF13855,PF00069","PTHR27000,PTHR27000:SF49",KOG1187,2.7.11.1,NA,"GO:0005515,GO:0006468,GO:0005524,GO:0004672",AT5G65700.1,BAM1,Leucine-rich receptor-like protein kinase family protein,LOC_Os07g04190.1,NA,"receptor protein kinase CLAVATA1 precursor, putative, expressed",-7313,-11338,7313
Chr02K,3713475,3733475,20001,+,spliceSite,221,15277,Pavir.2KG047500,2.316602178449848,3723475,Chr02K_3723475,3,9,3716662,3717560,899,+,41656136,Pavir.2KG047500.1,Pavir.2KG047500.1.p,NA,PTHR33088,NA,NA,NA,NA,AT5G09530.1,NA,hydroxyproline-rich glycoprotein family protein,LOC_Os07g04950.1,NA,"retrotransposon protein, putative, unclassified, expressed",6813,5915,5915
Chr02K,3713475,3733475,20001,+,spliceSite,221,15278,Pavir.2KG047700,2.316602178449848,3723475,Chr02K_3723475,3,9,3720714,3721729,1016,+,41650775,Pavir.2KG047700.1,Pavir.2KG047700.1.p,NA,PTHR33088,NA,NA,NA,NA,AT5G09530.1,NA,hydroxyproline-rich glycoprotein family protein,LOC_Os07g04950.1,NA,"retrotransposon protein, putative, unclassified, expressed",2761,1746,1746
Chr02K,3713475,3733475,20001,+,spliceSite,221,15279,Pavir.2KG047716,2.316602178449848,3723475,Chr02K_3723475,3,9,3723992,3724853,862,+,41651968,Pavir.2KG047716.1,Pavir.2KG047716.1.p,NA,"PTHR33088,PTHR33088:SF3",NA,NA,NA,NA,AT5G09530.1,NA,hydroxyproline-rich glycoprotein family protein,LOC_Os07g04950.1,NA,"retrotransposon protein, putative, unclassified, expressed",-517,-1378,517
Chr02K,3713475,3733475,20001,+,spliceSite,221,15280,Pavir.2KG047900,2.316602178449848,3723475,Chr02K_3723475,3,9,3726346,3727184,839,+,41651033,Pavir.2KG047900.1,Pavir.2KG047900.1.p,NA,PTHR33088,NA,NA,NA,NA,AT5G09530.1,NA,hydroxyproline-rich glycoprotein family protein,LOC_Os07g04950.1,NA,"retrotransposon protein, putative, unclassified, expressed",-2871,-3709,2871
Chr02K,3713475,3733475,20001,+,spliceSite,221,19550,Pavir.2KG047516,2.316602178449848,3723475,Chr02K_3723475,3,9,3717582,3719624,2043,-,41653270,Pavir.2KG047516.1,Pavir.2KG047516.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5893,3851,3851
Chr02K,3713475,3733475,20001,+,spliceSite,221,19551,Pavir.2KG048000,2.316602178449848,3723475,Chr02K_3723475,3,9,3728986,3729524,539,-,41658356,Pavir.2KG048000.1,Pavir.2KG048000.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5511,-6049,5511
Chr02K,4632893,4652893,20001,*,intergenic,222,NA,NA,2.605474345492135,4642893,Chr02K_4642893,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chr02K,4832111,4852111,20001,+,spliceSite,223,15373,Pavir.2KG065500,3.5986560415489186,4842111,Chr02K_4842111,3,4,4831473,4834359,2887,+,41652955,Pavir.2KG065500.1,Pavir.2KG065500.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10638,7752,7752
Chr02K,4832111,4852111,20001,+,spliceSite,223,15374,Pavir.2KG065516,3.5986560415489186,4842111,Chr02K_4842111,3,4,4837616,4843479,5864,+,41655927,Pavir.2KG065516.1,Pavir.2KG065516.1.p,PF09011,"PTHR31675,PTHR31675:SF9",NA,NA,NA,GO:0007275,AT1G08465.1,YAB2,Plant-specific transcription factor YABBY family protein,LOC_Os07g06620.1,NA,"YABBY domain containing protein, putative, expressed",4495,-1368,1368
Chr02K,4832111,4852111,20001,+,spliceSite,223,15376,Pavir.2KG065600,3.5986560415489186,4842111,Chr02K_4842111,3,4,4849430,4851326,1897,+,41655425,Pavir.2KG065600.1,Pavir.2KG065600.1.p,PF13671,"PTHR37807,PTHR37807:SF1",NA,NA,NA,NA,NA,NA,NA,LOC_Os07g06644.2,NA,expressed protein,-7319,-9215,7319
Chr02K,4832111,4852111,20001,+,spliceSite,223,15377,Pavir.2KG065700,3.5986560415489186,4842111,Chr02K_4842111,3,4,4851667,4852506,840,+,41657020,Pavir.2KG065700.1,Pavir.2KG065700.1.p,PF15490,"PTHR33905,PTHR33905:SF1",NA,NA,NA,"GO:0070188,GO:0003697",AT1G56260.1,NA,NA,NA,NA,NA,-9556,-10395,9556
Chr02K,5090414,5110414,20001,+,spliceSite,224,15391,Pavir.2KG067816,2.123254365707357,5100414,Chr02K_5100414,3,7,5107000,5107966,967,+,41658201,Pavir.2KG067816.1,Pavir.2KG067816.1.p,NA,NA,NA,NA,NA,NA,AT1G10000.1,NA,Ribonuclease H-like superfamily protein,LOC_Os01g60820.1,NA,hypothetical protein,-6586,-7552,6586
Chr02K,5090414,5110414,20001,+,spliceSite,224,19671,Pavir.2KG067800,2.123254365707357,5100414,Chr02K_5100414,3,7,5091721,5093646,1926,-,41651917,Pavir.2KG067800.1,Pavir.2KG067800.1.p,PF08387,"PTHR32212,PTHR32212:SF74",NA,NA,NA,NA,AT1G69630.1,NA,F-box/RNI-like superfamily protein,LOC_Os07g18560.1,NA,"OsFBLD6 - F-box, LRR and FBD domain containing protein, expressed",8693,6768,6768
Chr02K,5090414,5110414,20001,+,spliceSite,224,19672,Pavir.2KG067800,2.123254365707357,5100414,Chr02K_5100414,3,7,5091721,5093646,1926,-,41651917,Pavir.2KG067800.1,Pavir.2KG067800.1.p,PF08387,"PTHR32212,PTHR32212:SF74",NA,NA,NA,NA,AT1G69630.1,NA,F-box/RNI-like superfamily protein,LOC_Os07g18560.1,NA,"OsFBLD6 - F-box, LRR and FBD domain containing protein, expressed",8693,6768,6768
Chr02K,5090414,5110414,20001,+,spliceSite,224,19673,Pavir.2KG067800,2.123254365707357,5100414,Chr02K_5100414,3,7,5091721,5093646,1926,-,41651917,Pavir.2KG067800.1,Pavir.2KG067800.1.p,PF08387,"PTHR32212,PTHR32212:SF74",NA,NA,NA,NA,AT1G69630.1,NA,F-box/RNI-like superfamily protein,LOC_Os07g18560.1,NA,"OsFBLD6 - F-box, LRR and FBD domain containing protein, expressed",8693,6768,6768
Chr02K,5265792,5285792,20001,+,spliceSite,225,15398,Pavir.2KG070700,2.880513213093465,5275792,Chr02K_5275792,3,9,5275243,5276509,1267,+,41651929,Pavir.2KG070700.1,Pavir.2KG070700.1.p,NA,"PTHR36812,PTHR36812:SF2",NA,NA,NA,NA,NA,NA,NA,LOC_Os07g07040.1,NA,"erythrocyte binding protein 3, putative, expressed",549,-717,549
Chr02K,5265792,5285792,20001,+,spliceSite,225,19694,Pavir.2KG070600,2.880513213093465,5275792,Chr02K_5275792,3,9,5265402,5269804,4403,-,41653445,Pavir.2KG070600.1,Pavir.2KG070600.1.p,"PF05739,PF00804","PTHR19957,PTHR19957:SF126",KOG0810,NA,K08486,"GO:0005515,GO:0016020",AT3G03800.1,"ATSYP131,SYP131",syntaxin of plants 131,LOC_Os07g07000.1,NA,"syntaxin, putative, expressed",10390,5988,5988
Chr02K,6755547,6775547,20001,+,spliceSite,226,15540,Pavir.2KG087400,2.102743147386926,6765547,Chr02K_6765547,3,9,6762879,6771131,8253,+,41652381,Pavir.2KG087400.1,Pavir.2KG087400.1.p,"PF02841,PF02263","PTHR10751,PTHR10751:SF38",NA,NA,NA,"GO:0005525,GO:0003924",AT2G38840.1,NA,Guanylate-binding family protein,LOC_Os07g08400.1,NA,"GTP binding protein, putative, expressed",2668,-5584,2668
