CHR,region_start,region_end,width,region_strand,Annotation,QUERYID,TXID,Gene ID,sum_log10BF,log10BF_PA,POS,marker.ID,CHRN,NumSigCond_PA,log10BF_PGS,NumSigCond_PGS,log10BF_KA,NumSigCond_KA,log10BF_KGS,NumSigCond_KGS,gene_start,gene_end,gene_width,gene_strand,pacId,transcriptName,peptideName,Pfam,Panther Categories,KOG,ec,KO,GO,Arabidopsis thaliana homolog,A. thaliana gene name,A. thaliana gene annotation,Rice homolog,Rice gene name,Rice gene annotation,d2_start,d2_end,distance from gene
Chr02K,22160986,22180986,20001,*,intergenic,120,NA,NA,13.33897206,4.496979904,22170986,Chr02K_22170986,3,4,3.411561871,4,2.533229971,6,2.897200315,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chr05K,62240837,62260837,20001,*,intergenic,425,NA,NA,13.23723371,4.128462089,62250837,Chr05K_62250837,9,9,2.686068357,9,2.923509871,9,3.499193396,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chr02N,67614684,67634684,20001,-,spliceSite,223,31414,Pavir.2NG447700,13.23243721,3.145503568,67624684,Chr02N_67624684,4,9,1.477416676,9,4.726317595,9,3.883199368,9,67631826,67635368,3543,-,41566186,Pavir.2NG447700.10,Pavir.2NG447700.10.p,NA,"PTHR32212,PTHR32212:SF78",NA,NA,NA,NA,AT2G42730.1,NA,F-box family protein,LOC_Os07g45010.1,NA,expressed protein,-7142,-10684,7142
Chr02N,67614684,67634684,20001,-,spliceSite,223,31415,Pavir.2NG447700,13.23243721,3.145503568,67624684,Chr02N_67624684,4,9,1.477416676,9,4.726317595,9,3.883199368,9,67631826,67635368,3543,-,41566186,Pavir.2NG447700.10,Pavir.2NG447700.10.p,NA,"PTHR32212,PTHR32212:SF78",NA,NA,NA,NA,AT2G42730.1,NA,F-box family protein,LOC_Os07g45010.1,NA,expressed protein,-7142,-10684,7142
Chr02N,67614684,67634684,20001,-,spliceSite,223,31416,Pavir.2NG447700,13.23243721,3.145503568,67624684,Chr02N_67624684,4,9,1.477416676,9,4.726317595,9,3.883199368,9,67631826,67635368,3543,-,41566186,Pavir.2NG447700.10,Pavir.2NG447700.10.p,NA,"PTHR32212,PTHR32212:SF78",NA,NA,NA,NA,AT2G42730.1,NA,F-box family protein,LOC_Os07g45010.1,NA,expressed protein,-7142,-10684,7142
Chr02N,67614684,67634684,20001,-,spliceSite,223,31417,Pavir.2NG447700,13.23243721,3.145503568,67624684,Chr02N_67624684,4,9,1.477416676,9,4.726317595,9,3.883199368,9,67631826,67635368,3543,-,41566186,Pavir.2NG447700.10,Pavir.2NG447700.10.p,NA,"PTHR32212,PTHR32212:SF78",NA,NA,NA,NA,AT2G42730.1,NA,F-box family protein,LOC_Os07g45010.1,NA,expressed protein,-7142,-10684,7142
Chr02N,67614684,67634684,20001,-,spliceSite,223,31418,Pavir.2NG447700,13.23243721,3.145503568,67624684,Chr02N_67624684,4,9,1.477416676,9,4.726317595,9,3.883199368,9,67631826,67635368,3543,-,41566186,Pavir.2NG447700.10,Pavir.2NG447700.10.p,NA,"PTHR32212,PTHR32212:SF78",NA,NA,NA,NA,AT2G42730.1,NA,F-box family protein,LOC_Os07g45010.1,NA,expressed protein,-7142,-10684,7142
Chr02N,67614684,67634684,20001,-,spliceSite,223,31419,Pavir.2NG447700,13.23243721,3.145503568,67624684,Chr02N_67624684,4,9,1.477416676,9,4.726317595,9,3.883199368,9,67631826,67635368,3543,-,41566186,Pavir.2NG447700.10,Pavir.2NG447700.10.p,NA,"PTHR32212,PTHR32212:SF78",NA,NA,NA,NA,AT2G42730.1,NA,F-box family protein,LOC_Os07g45010.1,NA,expressed protein,-7142,-10684,7142
Chr02N,67614684,67634684,20001,-,spliceSite,223,31420,Pavir.2NG447700,13.23243721,3.145503568,67624684,Chr02N_67624684,4,9,1.477416676,9,4.726317595,9,3.883199368,9,67631826,67635368,3543,-,41566186,Pavir.2NG447700.10,Pavir.2NG447700.10.p,NA,"PTHR32212,PTHR32212:SF78",NA,NA,NA,NA,AT2G42730.1,NA,F-box family protein,LOC_Os07g45010.1,NA,expressed protein,-7142,-10684,7142
Chr02N,67614684,67634684,20001,-,spliceSite,223,31421,Pavir.2NG447700,13.23243721,3.145503568,67624684,Chr02N_67624684,4,9,1.477416676,9,4.726317595,9,3.883199368,9,67631826,67635368,3543,-,41566186,Pavir.2NG447700.10,Pavir.2NG447700.10.p,NA,"PTHR32212,PTHR32212:SF78",NA,NA,NA,NA,AT2G42730.1,NA,F-box family protein,LOC_Os07g45010.1,NA,expressed protein,-7142,-10684,7142
Chr02N,67614684,67634684,20001,-,spliceSite,223,31422,Pavir.2NG447700,13.23243721,3.145503568,67624684,Chr02N_67624684,4,9,1.477416676,9,4.726317595,9,3.883199368,9,67631826,67635368,3543,-,41566186,Pavir.2NG447700.10,Pavir.2NG447700.10.p,NA,"PTHR32212,PTHR32212:SF78",NA,NA,NA,NA,AT2G42730.1,NA,F-box family protein,LOC_Os07g45010.1,NA,expressed protein,-7142,-10684,7142
Chr02N,67614684,67634684,20001,-,spliceSite,223,31423,Pavir.2NG447700,13.23243721,3.145503568,67624684,Chr02N_67624684,4,9,1.477416676,9,4.726317595,9,3.883199368,9,67631826,67635368,3543,-,41566186,Pavir.2NG447700.10,Pavir.2NG447700.10.p,NA,"PTHR32212,PTHR32212:SF78",NA,NA,NA,NA,AT2G42730.1,NA,F-box family protein,LOC_Os07g45010.1,NA,expressed protein,-7142,-10684,7142
Chr02N,67614684,67634684,20001,-,spliceSite,223,31424,Pavir.2NG447700,13.23243721,3.145503568,67624684,Chr02N_67624684,4,9,1.477416676,9,4.726317595,9,3.883199368,9,67631826,67635368,3543,-,41566186,Pavir.2NG447700.10,Pavir.2NG447700.10.p,NA,"PTHR32212,PTHR32212:SF78",NA,NA,NA,NA,AT2G42730.1,NA,F-box family protein,LOC_Os07g45010.1,NA,expressed protein,-7142,-10684,7142
Chr02N,67614684,67634684,20001,-,spliceSite,223,31425,Pavir.2NG447700,13.23243721,3.145503568,67624684,Chr02N_67624684,4,9,1.477416676,9,4.726317595,9,3.883199368,9,67631826,67635368,3543,-,41566186,Pavir.2NG447700.10,Pavir.2NG447700.10.p,NA,"PTHR32212,PTHR32212:SF78",NA,NA,NA,NA,AT2G42730.1,NA,F-box family protein,LOC_Os07g45010.1,NA,expressed protein,-7142,-10684,7142
Chr05K,46558513,46578513,20001,+,spliceSite,408,62120,Pavir.5KG471100,13.20621619,3.155357512,46568513,Chr05K_46568513,9,8,3.355276437,8,2.894187259,8,3.801394978,8,46569873,46580414,10542,+,41550574,Pavir.5KG471100.1,Pavir.5KG471100.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,LOC_Os05g45830.1,NA,expressed protein,-1360,-11901,1360
Chr05K,46558513,46578513,20001,+,spliceSite,408,62121,Pavir.5KG471100,13.20621619,3.155357512,46568513,Chr05K_46568513,9,8,3.355276437,8,2.894187259,8,3.801394978,8,46569873,46580414,10542,+,41550574,Pavir.5KG471100.1,Pavir.5KG471100.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,LOC_Os05g45830.1,NA,expressed protein,-1360,-11901,1360
Chr03N,2787354,2807354,20001,-,spliceSite,274,40568,Pavir.3NG030790,13.0487934,4.726548277,2797354,Chr03N_2797354,6,8,2.837712304,6,3.032094702,7,2.452438121,7,2789621,2791304,1684,+,41661534,Pavir.3NG030790.1,Pavir.3NG030790.1.p,NA,"PTHR13734,PTHR13734:SF5",NA,2.7.7.72,NA,NA,AT1G22660.1,NA,Polynucleotide adenylyltransferase family protein,LOC_Os12g07350.1,NA,"tRNA nucleotidyltransferase/polyA polymerase family protein, putative, expressed",7733,6050,6050
Chr03N,2787354,2807354,20001,-,spliceSite,274,40569,Pavir.3NG030880,13.0487934,4.726548277,2797354,Chr03N_2797354,6,8,2.837712304,6,3.032094702,7,2.452438121,7,2791490,2792231,742,+,41659636,Pavir.3NG030880.1,Pavir.3NG030880.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5864,5123,5123
Chr03N,2787354,2807354,20001,-,spliceSite,274,44639,Pavir.3NG031000,13.0487934,4.726548277,2797354,Chr03N_2797354,6,8,2.837712304,6,3.032094702,7,2.452438121,7,2792683,2793379,697,-,41663289,Pavir.3NG031000.1,Pavir.3NG031000.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4671,3975,3975
Chr03N,2787354,2807354,20001,-,spliceSite,274,44640,Pavir.3NG031100,13.0487934,4.726548277,2797354,Chr03N_2797354,6,8,2.837712304,6,3.032094702,7,2.452438121,7,2795647,2797747,2101,-,41665732,Pavir.3NG031100.1,Pavir.3NG031100.1.p,PF03634,"PTHR31072,PTHR31072:SF21",NA,NA,NA,NA,AT1G58100.1,NA,TCP family transcription factor ,LOC_Os12g07480.1,NA,"TCP family transcription factor, putative, expressed",1707,-393,393
Chr09K,56533253,56553253,20001,+,spliceSite,703,116946,Pavir.9KG424400,13.03219289,2.367232154,56543253,Chr09K_56543253,17,3,1.81076577,3,4.704793904,3,4.149401061,3,56537346,56538883,1538,-,41605137,Pavir.9KG424400.1,Pavir.9KG424400.1.p,NA,"PTHR31215,PTHR31215:SF5",NA,NA,NA,NA,AT5G46170.1,NA,F-box family protein,LOC_Os03g20500.1,NA,"OsFBX82 - F-box domain containing protein, expressed",5907,4370,4370
Chr09K,56533253,56553253,20001,+,spliceSite,703,116947,Pavir.9KG424300,13.03219289,2.367232154,56543253,Chr09K_56543253,17,3,1.81076577,3,4.704793904,3,4.149401061,3,56543028,56546058,3031,-,41603523,Pavir.9KG424300.1,Pavir.9KG424300.1.p,PF00173,"PTHR10281,PTHR10281:SF40",KOG1110,NA,K17278,NA,AT3G48890.1,"ATMAPR3,ATMP2,MAPR3,MSBP2",membrane-associated progesterone binding protein 3,LOC_Os03g20470.1,NA,"cytochrome b5-like Heme/Steroid binding domain containing protein, expressed",225,-2805,225
Chr09K,56533253,56553253,20001,+,spliceSite,703,116948,Pavir.9KG424300,13.03219289,2.367232154,56543253,Chr09K_56543253,17,3,1.81076577,3,4.704793904,3,4.149401061,3,56543028,56546058,3031,-,41603523,Pavir.9KG424300.1,Pavir.9KG424300.1.p,PF00173,"PTHR10281,PTHR10281:SF40",KOG1110,NA,K17278,NA,AT3G48890.1,"ATMAPR3,ATMP2,MAPR3,MSBP2",membrane-associated progesterone binding protein 3,LOC_Os03g20470.1,NA,"cytochrome b5-like Heme/Steroid binding domain containing protein, expressed",225,-2805,225
Chr09K,56533253,56553253,20001,+,spliceSite,703,116949,Pavir.9KG424200,13.03219289,2.367232154,56543253,Chr09K_56543253,17,3,1.81076577,3,4.704793904,3,4.149401061,3,56548217,56551296,3080,-,41608528,Pavir.9KG424200.2,Pavir.9KG424200.2.p,PF00625,"PTHR23117,PTHR23117:SF12",KOG0707,2.7.4.8,K00942,NA,AT3G06200.1,NA,P-loop containing nucleoside triphosphate hydrolases superfamily protein,LOC_Os03g20460.1,NA,"guanylate kinase, putative, expressed",-4964,-8043,4964
Chr04K,12379560,12399560,20001,-,spliceSite,322,49354,Pavir.4KG397301,13.02769999,3.865767486,12389560,Chr04K_12389560,7,9,1.851598703,9,4.64591165,8,2.664422147,9,12383562,12385115,1554,+,41645377,Pavir.4KG397301.1,Pavir.4KG397301.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5998,4445,4445
Chr04K,12379560,12399560,20001,-,spliceSite,322,49355,Pavir.4KG397301,13.02769999,3.865767486,12389560,Chr04K_12389560,7,9,1.851598703,9,4.64591165,8,2.664422147,9,12383562,12385115,1554,+,41645377,Pavir.4KG397301.1,Pavir.4KG397301.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5998,4445,4445
Chr04K,12379560,12399560,20001,-,spliceSite,322,49356,Pavir.4KG397500,13.02769999,3.865767486,12389560,Chr04K_12389560,7,9,1.851598703,9,4.64591165,8,2.664422147,9,12390966,12392640,1675,+,41650361,Pavir.4KG397500.1,Pavir.4KG397500.1.p,PF04674,"PTHR31279,PTHR31279:SF15",NA,NA,NA,NA,AT4G08950.1,EXO,Phosphate-responsive 1 family protein,LOC_Os06g11660.1,NA,"phosphate-induced protein 1 conserved region domain containing protein, expressed",-1406,-3080,1406
Chr04K,12379560,12399560,20001,-,spliceSite,322,49357,Pavir.4KG397600,13.02769999,3.865767486,12389560,Chr04K_12389560,7,9,1.851598703,9,4.64591165,8,2.664422147,9,12398242,12399629,1388,+,41650253,Pavir.4KG397600.1,Pavir.4KG397600.1.p,PF04674,"PTHR31279,PTHR31279:SF8",NA,NA,NA,NA,AT5G64260.1,EXL2,EXORDIUM like 2,LOC_Os06g11650.1,NA,"phosphate-induced protein 1 conserved region domain containing protein, expressed",-8682,-10069,8682
Chr01N,57697806,57717806,20001,+,spliceSite,84,14049,Pavir.1NG450538,12.86966945,3.169328249,57707806,Chr01N_57707806,2,9,2.207168277,9,3.773350314,9,3.71982261,9,57698783,57700607,1825,-,41588300,Pavir.1NG450538.1,Pavir.1NG450538.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9023,7199,7199
Chr01N,57697806,57717806,20001,+,spliceSite,84,14050,Pavir.1NG450700,12.86966945,3.169328249,57707806,Chr01N_57707806,2,9,2.207168277,9,3.773350314,9,3.71982261,9,57708403,57711763,3361,-,41585560,Pavir.1NG450700.1,Pavir.1NG450700.1.p,PF00561,"PTHR10992,PTHR10992:SF782",KOG1454,3.1.1.3,NA,NA,AT2G18360.1,NA,alpha/beta-Hydrolases superfamily protein,LOC_Os02g47780.1,NA,"hydrolase, alpha/beta fold family domain containing protein, expressed",-597,-3957,597
Chr01N,57697806,57717806,20001,+,spliceSite,84,14051,Pavir.1NG450900,12.86966945,3.169328249,57707806,Chr01N_57707806,2,9,2.207168277,9,3.773350314,9,3.71982261,9,57712892,57715994,3103,-,41584385,Pavir.1NG450900.1,Pavir.1NG450900.1.p,PF00070,"PTHR22912,PTHR22912:SF161",KOG1336,1.6.5.4,K08232,"GO:0055114,GO:0016491",AT3G27820.1,"ATMDAR4,MDAR4",monodehydroascorbate reductase 4,LOC_Os02g47800.1,NA,"monodehydroascorbate reductase, putative, expressed",-5086,-8188,5086
Chr01N,57697806,57717806,20001,+,spliceSite,84,14052,Pavir.1NG451000,12.86966945,3.169328249,57707806,Chr01N_57707806,2,9,2.207168277,9,3.773350314,9,3.71982261,9,57716361,57720840,4480,-,41587260,Pavir.1NG451000.1,Pavir.1NG451000.1.p,PF00070,"PTHR22912,PTHR22912:SF170",KOG1336,1.6.5.4,K08232,"GO:0055114,GO:0016491",AT3G27820.1,"ATMDAR4,MDAR4",monodehydroascorbate reductase 4,LOC_Os02g47800.1,NA,"monodehydroascorbate reductase, putative, expressed",-8555,-13034,8555
Chr01N,57697806,57717806,20001,+,spliceSite,84,14053,Pavir.1NG451000,12.86966945,3.169328249,57707806,Chr01N_57707806,2,9,2.207168277,9,3.773350314,9,3.71982261,9,57716361,57720840,4480,-,41587260,Pavir.1NG451000.1,Pavir.1NG451000.1.p,PF00070,"PTHR22912,PTHR22912:SF170",KOG1336,1.6.5.4,K08232,"GO:0055114,GO:0016491",AT3G27820.1,"ATMDAR4,MDAR4",monodehydroascorbate reductase 4,LOC_Os02g47800.1,NA,"monodehydroascorbate reductase, putative, expressed",-8555,-13034,8555
Chr07K,26403227,26423227,20001,*,intergenic,545,NA,NA,12.8586152,3.695189983,26413227,Chr07K_26413227,13,8,1.677758461,8,3.872756788,8,3.612909968,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chr03N,25849524,25869524,20001,-,spliceSite,298,42482,Pavir.3NG140765,12.82547449,2.451323532,25859524,Chr03N_25859524,6,7,1.718466989,8,3.882690621,8,4.77299335,8,25856224,25861090,4867,+,41661960,Pavir.3NG140765.1,Pavir.3NG140765.1.p,"PF14259,PF13893","PTHR24012,PTHR24012:SF376",KOG1190,NA,K14948,NA,AT1G43190.2,PTB3,polypyrimidine tract-binding protein 3,LOC_Os05g36120.1,NA,"polypyrimidine tract-binding protein, putative, expressed",3300,-1566,1566
Chr03N,25849524,25869524,20001,-,spliceSite,298,42483,Pavir.3NG140765,12.82547449,2.451323532,25859524,Chr03N_25859524,6,7,1.718466989,8,3.882690621,8,4.77299335,8,25856224,25861090,4867,+,41661960,Pavir.3NG140765.1,Pavir.3NG140765.1.p,"PF14259,PF13893","PTHR24012,PTHR24012:SF376",KOG1190,NA,K14948,NA,AT1G43190.2,PTB3,polypyrimidine tract-binding protein 3,LOC_Os05g36120.1,NA,"polypyrimidine tract-binding protein, putative, expressed",3300,-1566,1566
Chr03N,25849524,25869524,20001,-,spliceSite,298,42484,Pavir.3NG140765,12.82547449,2.451323532,25859524,Chr03N_25859524,6,7,1.718466989,8,3.882690621,8,4.77299335,8,25856224,25861090,4867,+,41661960,Pavir.3NG140765.1,Pavir.3NG140765.1.p,"PF14259,PF13893","PTHR24012,PTHR24012:SF376",KOG1190,NA,K14948,NA,AT1G43190.2,PTB3,polypyrimidine tract-binding protein 3,LOC_Os05g36120.1,NA,"polypyrimidine tract-binding protein, putative, expressed",3300,-1566,1566
Chr03N,25849524,25869524,20001,-,spliceSite,298,42485,Pavir.3NG140765,12.82547449,2.451323532,25859524,Chr03N_25859524,6,7,1.718466989,8,3.882690621,8,4.77299335,8,25856224,25861090,4867,+,41661960,Pavir.3NG140765.1,Pavir.3NG140765.1.p,"PF14259,PF13893","PTHR24012,PTHR24012:SF376",KOG1190,NA,K14948,NA,AT1G43190.2,PTB3,polypyrimidine tract-binding protein 3,LOC_Os05g36120.1,NA,"polypyrimidine tract-binding protein, putative, expressed",3300,-1566,1566
Chr03N,25849524,25869524,20001,-,spliceSite,298,46678,Pavir.3NG140766,12.82547449,2.451323532,25859524,Chr03N_25859524,6,7,1.718466989,8,3.882690621,8,4.77299335,8,25861528,25865293,3766,-,41664105,Pavir.3NG140766.1,Pavir.3NG140766.1.p,PF04367,"PTHR31876,PTHR31876:SF3",NA,NA,NA,NA,AT1G43130.1,LCV2,like COV 2,LOC_Os01g64780.2,NA,"COV1, putative, expressed",-2004,-5769,2004
Chr03N,25849524,25869524,20001,-,spliceSite,298,46679,Pavir.3NG140766,12.82547449,2.451323532,25859524,Chr03N_25859524,6,7,1.718466989,8,3.882690621,8,4.77299335,8,25861528,25865293,3766,-,41664105,Pavir.3NG140766.1,Pavir.3NG140766.1.p,PF04367,"PTHR31876,PTHR31876:SF3",NA,NA,NA,NA,AT1G43130.1,LCV2,like COV 2,LOC_Os01g64780.2,NA,"COV1, putative, expressed",-2004,-5769,2004
Chr03N,25849524,25869524,20001,-,spliceSite,298,46680,Pavir.3NG140767,12.82547449,2.451323532,25859524,Chr03N_25859524,6,7,1.718466989,8,3.882690621,8,4.77299335,8,25867011,25868971,1961,-,41665896,Pavir.3NG140767.1,Pavir.3NG140767.1.p,PF00847,"PTHR31190,PTHR31190:SF24",NA,NA,NA,"GO:0006355,GO:0003700",AT5G61890.1,NA,Integrase-type DNA-binding superfamily protein,LOC_Os05g36100.1,NA,"AP2 domain containing protein, expressed",-7487,-9447,7487
Chr03N,25849524,25869524,20001,-,spliceSite,298,46681,Pavir.3NG140767,12.82547449,2.451323532,25859524,Chr03N_25859524,6,7,1.718466989,8,3.882690621,8,4.77299335,8,25867011,25868971,1961,-,41665896,Pavir.3NG140767.1,Pavir.3NG140767.1.p,PF00847,"PTHR31190,PTHR31190:SF24",NA,NA,NA,"GO:0006355,GO:0003700",AT5G61890.1,NA,Integrase-type DNA-binding superfamily protein,LOC_Os05g36100.1,NA,"AP2 domain containing protein, expressed",-7487,-9447,7487
Chr03K,57794803,57814803,20001,-,spliceSite,262,39842,Pavir.3KG495800,12.82188792,3.302083527,57804803,Chr03K_57804803,5,9,2.249482713,9,3.797294623,9,3.473027057,9,57786489,57803452,16964,-,41616278,Pavir.3KG495800.2,Pavir.3KG495800.2.p,PF00931,"PTHR23155,PTHR23155:SF578",NA,NA,NA,GO:0043531,AT3G07040.1,"RPM1,RPS3",NB-ARC domain-containing disease resistance protein,LOC_Os12g17480.1,NA,"MLA12, putative, expressed",18314,1351,1351
Chr02K,1059740,1079740,20001,+,spliceSite,100,15113,Pavir.2KG003800,12.8204193,2.674805218,1069740,Chr02K_1069740,3,9,3.196228311,9,2.7067868,9,4.242598971,9,1058285,1059834,1550,+,41652290,Pavir.2KG003800.2,Pavir.2KG003800.2.p,PF00240,PTHR10666,"KOG0001,KOG0005",NA,NA,GO:0005515,AT4G05320.2,UBQ10,polyubiquitin 10,LOC_Os02g06640.1,NA,"ubiquitin family protein, putative, expressed",11455,9906,9906
Chr02K,1059740,1079740,20001,+,spliceSite,100,15114,Pavir.2KG003300,12.8204193,2.674805218,1069740,Chr02K_1069740,3,9,3.196228311,9,2.7067868,9,4.242598971,9,1077059,1078697,1639,+,41658161,Pavir.2KG003300.1,Pavir.2KG003300.1.p,NA,"PTHR32133,PTHR32133:SF134",NA,NA,NA,NA,NA,NA,NA,LOC_Os08g20492.1,NA,"OsFBX285 - F-box domain containing protein, expressed",-7319,-8957,7319
Chr02K,1059740,1079740,20001,+,spliceSite,100,15115,Pavir.2KG003200,12.8204193,2.674805218,1069740,Chr02K_1069740,3,9,3.196228311,9,2.7067868,9,4.242598971,9,1079407,1083749,4343,+,41651495,Pavir.2KG003200.1,Pavir.2KG003200.1.p,PF08507,"PTHR34965,PTHR34965:SF1",NA,NA,NA,NA,AT4G33625.1,NA,NA,LOC_Os07g02710.1,NA,expressed protein,-9667,-14009,9667
Chr02K,1059740,1079740,20001,+,spliceSite,100,15116,Pavir.2KG003200,12.8204193,2.674805218,1069740,Chr02K_1069740,3,9,3.196228311,9,2.7067868,9,4.242598971,9,1079407,1083749,4343,+,41651495,Pavir.2KG003200.1,Pavir.2KG003200.1.p,PF08507,"PTHR34965,PTHR34965:SF1",NA,NA,NA,NA,AT4G33625.1,NA,NA,LOC_Os07g02710.1,NA,expressed protein,-9667,-14009,9667
Chr02K,1059740,1079740,20001,+,spliceSite,100,19417,Pavir.2KG004600,12.8204193,2.674805218,1069740,Chr02K_1069740,3,9,3.196228311,9,2.7067868,9,4.242598971,9,1060519,1063089,2571,-,41652806,Pavir.2KG004600.3,Pavir.2KG004600.3.p,"PF01535,PF13041","PTHR24015,PTHR24015:SF301",NA,NA,NA,NA,AT3G06430.1,EMB2750,Tetratricopeptide repeat (TPR)-like superfamily protein,LOC_Os03g19650.3,NA,"PPR2, putative, expressed",9221,6651,6651
Chr02K,1059740,1079740,20001,+,spliceSite,100,19418,Pavir.2KG003600,12.8204193,2.674805218,1069740,Chr02K_1069740,3,9,3.196228311,9,2.7067868,9,4.242598971,9,1064531,1067082,2552,-,41658770,Pavir.2KG003600.2,Pavir.2KG003600.2.p,NA,"PTHR32133,PTHR32133:SF134",NA,NA,NA,NA,NA,NA,NA,LOC_Os07g02930.1,NA,"OsFBX210 - F-box domain containing protein, expressed",5209,2658,2658
Chr02K,1059740,1079740,20001,+,spliceSite,100,19419,Pavir.2KG218050,12.8204193,2.674805218,1069740,Chr02K_1069740,3,9,3.196228311,9,2.7067868,9,4.242598971,9,1067465,1067956,492,-,41655898,Pavir.2KG218050.1,Pavir.2KG218050.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2275,1784,1784
Chr02K,1059740,1079740,20001,+,spliceSite,100,19420,Pavir.2KG003400,12.8204193,2.674805218,1069740,Chr02K_1069740,3,9,3.196228311,9,2.7067868,9,4.242598971,9,1069247,1073819,4573,-,41658309,Pavir.2KG003400.1,Pavir.2KG003400.1.p,PF00118,PTHR11353,NA,NA,K09497,GO:0005524,AT1G24510.1,NA,TCP-1/cpn60 chaperonin family protein,LOC_Os06g36700.1,NA,"T-complex protein, putative, expressed",493,-4079,493
Chr02K,1059740,1079740,20001,+,spliceSite,100,19421,Pavir.2KG003400,12.8204193,2.674805218,1069740,Chr02K_1069740,3,9,3.196228311,9,2.7067868,9,4.242598971,9,1069247,1073819,4573,-,41658309,Pavir.2KG003400.1,Pavir.2KG003400.1.p,PF00118,PTHR11353,NA,NA,K09497,GO:0005524,AT1G24510.1,NA,TCP-1/cpn60 chaperonin family protein,LOC_Os06g36700.1,NA,"T-complex protein, putative, expressed",493,-4079,493
Chr04K,28004910,28024910,20001,-,spliceSite,330,49941,Pavir.4KG238915,12.77896601,2.962344506,28014910,Chr04K_28014910,7,6,4.712109549,8,2.303235221,5,2.801276734,8,28013800,28018254,4455,+,41649255,Pavir.4KG238915.1,Pavir.4KG238915.1.p,NA,"PTHR12606,PTHR12606:SF31",NA,NA,NA,NA,NA,NA,NA,LOC_Os12g18920.1,NA,expressed protein,1110,-3344,1110
Chr04K,28004910,28024910,20001,-,spliceSite,330,49942,Pavir.4KG238920,12.77896601,2.962344506,28014910,Chr04K_28014910,7,6,4.712109549,8,2.303235221,5,2.801276734,8,28018255,28020011,1757,+,41646873,Pavir.4KG238920.1,Pavir.4KG238920.1.p,NA,"PTHR12606,PTHR12606:SF31",NA,NA,NA,NA,NA,NA,NA,LOC_Os11g17290.2,NA,expressed protein,-3345,-5101,3345
Chr04K,28004910,28024910,20001,+,spliceSite,330,52718,Pavir.4KG238925,12.77896601,2.962344506,28014910,Chr04K_28014910,7,6,4.712109549,8,2.303235221,5,2.801276734,8,28020714,28024070,3357,-,41645949,Pavir.4KG238925.1,Pavir.4KG238925.1.p,PF10551,"PTHR31669,PTHR31669:SF11",NA,NA,NA,GO:0006355,AT3G06250.1,FRS7,FAR1-related sequence 7,LOC_Os10g24020.2,NA,"transposon protein, putative, unclassified, expressed",-5804,-9160,5804
Chr04K,28004910,28024910,20001,+,spliceSite,330,52719,Pavir.4KG238930,12.77896601,2.962344506,28014910,Chr04K_28014910,7,6,4.712109549,8,2.303235221,5,2.801276734,8,28024608,28025889,1282,-,41648416,Pavir.4KG238930.1,Pavir.4KG238930.1.p,PF03106,"PTHR32096,PTHR32096:SF31",NA,NA,NA,"GO:0043565,GO:0006355,GO:0003700",AT4G01250.1,"AtWRKY22,WRKY22",WRKY family transcription factor,LOC_Os06g30860.1,NA,"WRKY31, expressed",-9698,-10979,9698
Chr03K,62187772,62207772,20001,-,spliceSite,268,35838,Pavir.3KG548100,12.76309951,4.545472616,62197772,Chr03K_62197772,5,8,2.587752834,5,3.176339569,8,2.453534491,5,62187024,62190527,3504,+,41616516,Pavir.3KG548100.1,Pavir.3KG548100.1.p,"PF02780,PF02779","PTHR11624,PTHR11624:SF76",NA,1.2.4.1,K00162,"GO:0008152,GO:0003824",AT2G34590.1,NA,Transketolase family protein,LOC_Os12g42230.1,NA,"transketolase, putative, expressed",10748,7245,7245
Chr03K,62187772,62207772,20001,-,spliceSite,268,35839,Pavir.3KG548100,12.76309951,4.545472616,62197772,Chr03K_62197772,5,8,2.587752834,5,3.176339569,8,2.453534491,5,62187024,62190527,3504,+,41616516,Pavir.3KG548100.1,Pavir.3KG548100.1.p,"PF02780,PF02779","PTHR11624,PTHR11624:SF76",NA,1.2.4.1,K00162,"GO:0008152,GO:0003824",AT2G34590.1,NA,Transketolase family protein,LOC_Os12g42230.1,NA,"transketolase, putative, expressed",10748,7245,7245
